edge_id,from_id,to_id,cost,edge_status
0,2,28,1,1
1,3,29,1,1
2,4,77,1,1
3,5,32,1,1
4,68,15,1,1
5,69,16,1,1
6,70,35,1,1
7,0,75,1,1
8,0,75,1,1
9,6,56,1,1
10,11,107,1,1
11,107,79,1,1
12,71,88,1,1
13,12,108,1,1
14,108,80,1,1
15,72,34,1,1
16,13,67,1,1
17,13,67,1,1
18,14,67,1,1
19,14,67,1,1
20,15,109,1,1
21,15,109,1,1
22,109,39,1,1
23,39,73,1,1
24,73,30,1,1
25,16,110,1,1
26,110,40,1,1
27,40,74,1,1
28,74,31,1,1
29,17,111,1,1
30,111,18,1,1
31,18,78,1,1
32,7,104,1,1
33,104,8,1,1
34,8,61,1,1
35,9,105,1,1
36,105,20,1,1
37,10,106,1,1
38,106,60,1,1
39,56,11,1,1
40,57,12,1,1
41,58,50,1,1
42,58,49,1,1
43,58,89,1,1
44,58,90,1,1
45,58,49,1,1
46,58,92,1,1
47,58,93,1,1
48,58,95,1,1
49,58,96,1,1
50,59,98,1,1
51,59,99,1,1
52,59,101,1,1
53,59,96,1,1
54,60,1,1,1
55,61,64,1,1
56,61,19,1,1
57,62,63,1,1
58,63,9,1,1
59,30,97,1,1
60,30,91,1,1
61,31,94,1,1
62,31,100,1,1
63,32,58,1,1
64,32,76,1,1
65,33,66,1,1
66,34,58,1,1
67,35,10,1,1
68,35,15,1,1
69,41,45,1,1
70,42,46,1,1
71,43,47,1,1
72,44,48,1,1
73,49,41,1,1
74,49,41,1,1
75,49,41,1,1
76,49,41,1,1
77,45,2,1,1
78,50,42,1,1
79,50,42,1,1
80,50,42,1,1
81,50,42,1,1
82,46,3,1,1
83,51,43,1,1
84,51,43,1,1
85,47,4,1,1
86,52,44,1,1
87,52,44,1,1
88,52,44,1,1
89,48,5,1,1
90,53,33,1,1
91,54,0,1,1
92,55,52,1,1
93,67,103,1,1
94,67,102,1,1
95,1,24,1,1
96,78,36,1,1
97,79,37,1,1
98,80,38,1,1
99,36,7,1,1
100,37,71,1,1
101,38,72,1,1
102,75,23,1,1
103,75,55,1,1
104,28,27,1,1
105,28,14,1,1
106,28,22,1,1
107,28,13,1,1
108,29,27,1,1
109,29,14,1,1
110,29,22,1,1
111,29,13,1,1
112,76,21,1,1
113,76,65,1,1
114,77,65,1,1
115,77,21,1,1
116,64,62,1,1
117,82,0,1,1
118,81,6,1,1
119,83,57,1,1
120,84,68,1,1
121,85,69,1,1
122,86,70,1,1
123,87,65,1,1
124,88,58,1,1
125,89,50,1,1
126,90,49,1,1
127,91,58,1,1
128,92,49,1,1
129,93,50,1,1
130,94,58,1,1
131,95,49,1,1
132,96,50,1,1
133,96,52,1,1
134,97,59,1,1
135,98,51,1,1
136,99,52,1,1
137,100,59,1,1
138,101,51,1,1
139,102,25,1,1
140,103,26,1,1
141,65,53,1,1
142,65,53,1,1
143,65,53,1,1
144,66,54,1,1
145,66,17,1,1
