node_id,node_name,is_source,is_destination,node_status,cost
0,CALIBRATE111,0,0,1,1
1,CHUTE1,0,0,1,1
2,CLEAN101,0,0,1,1
3,CLEAN102,0,0,1,1
4,CLEAN103,0,0,1,1
5,CLEAN104,0,0,1,1
6,CONVEYOR1,0,0,1,1
7,CONVEYOR10,0,0,1,1
8,CONVEYOR11,0,0,1,1
9,CONVEYOR12,0,0,1,1
10,CONVEYOR14,0,0,1,1
11,CONVEYOR2,0,0,1,1
12,CONVEYOR3,0,0,1,1
13,CONVEYOR4,0,0,1,1
14,CONVEYOR5,0,0,1,1
15,CONVEYOR6,0,0,1,1
16,CONVEYOR7,0,0,1,1
17,CONVEYOR8,0,0,1,1
18,CONVEYOR9,0,0,1,1
19,DEST_CLEAN,0,1,1,1
20,DEST_LOAD,0,1,1,1
21,DEST_WEIGH,0,1,1,1
22,DEST1,0,1,1,1
23,DEST11,0,1,1,1
24,DEST14,0,1,1,1
25,DEST4,0,1,1,1
26,DEST5,0,1,1,1
27,DEST6,0,1,1,1
28,DISTRIBUTOR1,0,0,1,1
29,DISTRIBUTOR2,0,0,1,1
30,DIVERTER1,0,0,1,1
31,DIVERTER2,0,0,1,1
32,DIVERTER3,0,0,1,1
33,DIVERTER6,0,0,1,1
34,DIVERTER7,0,0,1,1
35,DIVERTER8,0,0,1,1
36,DRIVE1,0,0,1,1
37,DRIVE2,0,0,1,1
38,DRIVE3,0,0,1,1
39,DUST6,0,0,1,1
40,DUST7,0,0,1,1
41,ELEVATOR_PATH_1,0,0,1,1
42,ELEVATOR_PATH_2,0,0,1,1
43,ELEVATOR_PATH_3,0,0,1,1
44,ELEVATOR_PATH_4,0,0,1,1
45,ELEVATOR_SWICTH_1,0,0,1,1
46,ELEVATOR_SWICTH_2,0,0,1,1
47,ELEVATOR_SWICTH_3,0,0,1,1
48,ELEVATOR_SWICTH_4,0,0,1,1
49,ELEVATOR1,0,0,1,1
50,ELEVATOR2,0,0,1,1
51,ELEVATOR3,0,0,1,1
52,ELEVATOR4,0,0,1,1
53,FLOW5,0,0,1,1
54,FLOW6,0,0,1,1
55,FLOW7,0,0,1,1
56,LINK1,0,0,1,1
57,LINK2,0,0,1,1
58,LINK3,0,0,1,1
59,LINK4,0,0,1,1
60,LINK5,0,0,1,1
61,LINK6,0,0,1,1
62,LINK7,0,0,1,1
63,LINK8,0,0,1,1
64,LOAD1,0,0,1,1
65,MAIN_WEIGHTER1,0,0,1,1
66,MAIN_WEIGHTER2,0,0,1,1
67,PRESS1,0,0,1,1
68,PRESSURE106,0,0,1,1
69,PRESSURE107,0,0,1,1
70,PRESSURE108,0,0,1,1
71,PROCESSOR2,0,0,1,1
72,PROCESSOR3,0,0,1,1
73,PROCESSOR6,0,0,1,1
74,PROCESSOR7,0,0,1,1
75,PVC,0,0,1,1
76,SCREEN1,0,0,1,1
77,SCREEN2,0,0,1,1
78,SEPARATOR1,0,0,1,1
79,SEPARATOR2,0,0,1,1
80,SEPARATOR3,0,0,1,1
81,SOURCE_1,1,0,1,1
82,SOURCE_11,1,0,1,1
83,SOURCE_3,1,0,1,1
84,SOURCE_6,1,0,1,1
85,SOURCE_7,1,0,1,1
86,SOURCE_8,1,0,1,1
87,SOURCE_WEIGH,1,0,1,1
88,SPLITTER1,0,0,1,1
89,SPLITTER1A,0,0,1,1
90,SPLITTER1B,0,0,1,1
91,SPLITTER2,0,0,1,1
92,SPLITTER2A,0,0,1,1
93,SPLITTER2B,0,0,1,1
94,SPLITTER3,0,0,1,1
95,SPLITTER3A,0,0,1,1
96,SPLITTER3B,0,0,1,1
97,SPLITTER4,0,0,1,1
98,SPLITTER4A,0,0,1,1
99,SPLITTER4B,0,0,1,1
100,SPLITTER5,0,0,1,1
101,SPLITTER5A,0,0,1,1
102,TRIPPER1,0,0,1,1
103,TRIPPER2,0,0,1,1
104,WEIGHT10,0,0,1,1
105,WEIGHT12,0,0,1,1
106,WEIGHT14,0,0,1,1
107,WEIGHT2,0,0,1,1
108,WEIGHT3,0,0,1,1
109,WEIGHT6,0,0,1,1
110,WEIGHT7,0,0,1,1
111,WEIGHT8,0,0,1,1
